MovieName,Year,IMDbRating,IMDbVotes,Awards,Language,AltText
50 to 1,2014,6.6,1554,N/A,"English,Portuguese","50 to 1,50 to 1 2014"
50/50,2011,7.7,294477,Nominated for 2 Golden Globes. Another 12 wins & 25 nominations.,English,"5050,5050 2011"
55th Idea Filmfare Awards,2010,8.7,894,N/A,Hindi,"55th idea filmfare awards,55th idea filmfare awards 2010"
6 Years,2015,5.6,9436,4 nominations.,English,"6 years,6 years 2015"
60 Days In,2016,7.8,1121,1 win.,English,"60 days in,60 days in 2016"
600 Miles,2015,5.5,1765,9 wins & 21 nominations.,"Spanish,English","600 miles,600 miles 2015"
7 Aum Arivu,2011,6.1,8556,11 nominations.,"Tamil,Hindi,Telugu","7 aum arivu,7 aum arivu 2011"
7 Chinese Brothers,2015,5.6,1190,2 wins & 4 nominations.,English,"7 chinese brothers,7 chinese brothers 2015"
7 Days in Hell,2015,7.1,13144,N/A,English,"7 days in hell,7 days in hell 2015"
7 Khoon Maaf,2011,6.2,4548,2 wins & 9 nominations.,"Hindi,English,Urdu,Russian","7 khoon maaf,7 khoon maaf 2011"
8 x 10 Tasveer,2009,5.9,4691,1 nomination.,Hindi,"8 x 10 tasveer,8 x 10 tasveer 2009"
88,2015,5.1,2917,N/A,English,"88,88 2015"
90 Day Fiance,2014,6,523,N/A,English,"90 day fiance,90 day fiance 2014"
Dead Rising: Watchtower,2015,5.2,7290,N/A,English,"dead rising watchtower,dead rising watchtower 2015,Dead Rising Watchtower,deadrisingwatchtower"
Deception,2008,6.1,35611,N/A,"English,Spanish,Cantonese","deception,deception 2008"
Decker,2014,8,793,N/A,"English,Pushto","decker,decker 2014"
Defiance,2008,7.2,127164,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,"English,German,Russian","defiance,defiance 2008"
Derailed,2005,6.6,66765,N/A,"English,French","derailed,derailed 2005"
Desert Flower,2009,7.4,10355,2 wins & 2 nominations.,"English,Somali,French","desert flower,desert flower 2009"
Detention,2011,5.8,13678,4 nominations.,English,"detention,detention 2011"
99,2009,7.3,2350,N/A,Hindi,"99,99 2009"
99 Homes,2014,7.1,24991,Nominated for 1 Golden Globe. Another 12 wins & 23 nominations.,English,"99 homes,99 homes 2014"
A Beautiful Mind,2001,8.2,735048,Won 4 Oscars. Another 33 wins & 67 nominations.,English,"a beautiful mind,a beautiful mind 2001"
A Blast,2014,5.8,617,7 nominations.,"Greek,English,German","a blast,a blast 2014"
A Brilliant Young Mind,2014,7.2,24361,4 wins & 8 nominations.,English,"a brilliant young mind,a brilliant young mind 2014"
A Christmas Detour,2015,6.2,1788,N/A,English,"a christmas detour,a christmas detour 2015"
A Cookie Cutter Christmas,2014,6.2,1130,1 nomination.,English,"a cookie cutter christmas,a cookie cutter christmas 2014"
A Country Wedding,2015,7.1,1555,1 nomination.,English,"a country wedding,a country wedding 2015"
A Kind of Murder,2016,5.3,5373,N/A,English,"a kind of murder,a kind of murder 2016"
A Monster Calls,2016,7.5,64986,38 wins & 51 nominations.,English,"a monster calls,a monster calls 2016"
A Most Violent Year,2014,7,57363,Nominated for 1 Golden Globe. Another 15 wins & 50 nominations.,"English,Spanish","a most violent year,a most violent year 2014"
A Perfect Day,2015,6.8,16830,1 win & 18 nominations.,"English,Serbian,Spanish,French,Bosnian","a perfect day,a perfect day 2015"
A Perfect Wedding,2015,6.1,1142,2 nominations.,"English,Italian","a perfect wedding,a perfect wedding 2015"
A Separation,2011,8.3,181912,Won 1 Oscar. Another 82 wins & 45 nominations.,Persian,"a separation,a separation 2011"
A Street Cat Named Bob,2016,7.4,21051,1 win.,English,"a street cat named bob,a street cat named bob 2016"
A Wednesday,2008,8.2,64228,7 wins & 20 nominations.,"Hindi,English","a wednesday,a wednesday 2008"
Django Unchained,2012,8.4,1156,Won 2 Oscars. Another 56 wins & 151 nominations.,"English,German,French,Italian","django unchained,django unchained 2012"
Do You Believe?,2015,6.1,6030,1 nomination.,English,"do you believe,do you believe 2015,Do You Believe,doyoubelieve"
Don't Hang Up,2016,5.6,9191,N/A,English,"dont hang up,dont hang up 2016,Dont Hang Up,donthangup"
Donnie Darko,2001,8.1,676335,11 wins & 15 nominations.,English,"donnie darko,donnie darko 2001"
ABCs of Death 2,2014,5.4,6721,1 nomination.,"English,Japanese,Hebrew,Portuguese,French,Arabic,Filipino,German","abcs of death 2,abcs of death 2 2014"
About a Boy,2002,7.1,156252,Nominated for 1 Oscar. Another 11 wins & 29 nominations.,English,"about a boy,about a boy 2002"
About Last Night,2014,6.1,20318,1 nomination.,English,"about last night,about last night 2014"
Absolutely Fabulous: The Movie,2016,5.4,10158,1 win & 5 nominations.,"English,French","absolutely fabulous the movie,absolutely fabulous the movie 2016,Absolutely Fabulous The Movie,absolutelyfabulousthemovie"
Adam,2009,7.2,31627,2 wins & 2 nominations.,English,"adam,adam 2009"
Adam Ruins Everything,2015,8.4,4343,N/A,English,"adam ruins everything,adam ruins everything 2015"
